"","Date","Mkt.RF","SMB","HML","RMW","CMA","RF"
"1",2010-01-01,0.07,0.01,0.02,0,-0.02,0
"2",2010-01-04,1.69,0.32,0.67,0.03,0.08,0
"3",2010-01-05,0.33,0.13,0.83,-0.3,-0.15,0
"4",2010-01-06,0.38,0.11,0.47,-0.07,-0.08,0
"5",2010-01-07,-0.22,0.24,0.44,-0.48,-0.01,0
"6",2010-01-08,0.8,0.26,0.37,0.01,-0.09,0
"7",2010-01-11,0.43,0.22,-0.07,0.18,0.2,0
"8",2010-01-12,-0.68,0.06,-0.47,0.19,0.22,0
"9",2010-01-13,0.37,0.06,-0.04,-0.07,0.07,0
"10",2010-01-14,0.58,0.16,0.31,0.12,0.01,0
"11",2010-01-15,-1.02,0.42,-0.25,0.31,0.03,0
"12",2010-01-18,0.19,-0.08,-0.06,0.08,-0.03,0
"13",2010-01-19,0.32,-0.07,-0.2,-0.06,0.12,0
"14",2010-01-20,-1.57,0.2,-0.48,-0.13,0.08,0
"15",2010-01-21,-1.23,0.25,-0.57,0.1,0.22,0
"16",2010-01-22,-1.46,0.42,-0.46,0.18,0.12,0
"17",2010-01-25,-0.05,0.06,0.13,0.12,-0.13,0
"18",2010-01-26,-0.55,-0.36,-0.49,0.18,0.02,0
"19",2010-01-27,-0.44,0.05,-0.46,-0.32,0.03,0
"20",2010-01-28,-0.82,0.36,0.18,-0.03,0.05,0
"21",2010-01-29,-0.86,-0.15,0.11,-0.05,0.35,0
"22",2010-02-01,1.03,-0.6,0.46,-0.25,0.12,0
"23",2010-02-02,1.23,-0.24,0.56,0.12,0.02,0
"24",2010-02-03,-0.56,0.25,-0.21,0.13,-0.07,0
"25",2010-02-04,-2.67,0.73,-0.81,0.21,0.26,0
"26",2010-02-05,-1.13,0.03,-0.48,-0.28,-0.2,0
"27",2010-02-08,-0.46,-0.39,-0.24,0.1,0.19,0
"28",2010-02-09,1.2,-0.12,0.4,0.16,-0.11,0
"29",2010-02-10,-0.04,0.06,0.34,-0.56,0,0
"30",2010-02-11,0.82,0.38,-0.26,0.26,-0.43,0
"31",2010-02-12,-0.16,0.48,-0.25,-0.01,-0.11,0
"32",2010-02-15,-0.14,-0.12,-0.03,-0.05,0,0
"33",2010-02-16,1.64,-0.45,0.45,0.18,-0.09,0
"34",2010-02-17,0.42,-0.19,0.35,-0.07,-0.21,0
"35",2010-02-18,0.2,-0.16,-0.07,0.16,-0.01,0
"36",2010-02-19,0.23,-0.17,0.11,-0.08,0.16,0
"37",2010-02-22,0.27,0.21,0.44,-0.37,-0.08,0
"38",2010-02-23,-1.09,0.37,-0.59,0.18,0.08,0
"39",2010-02-24,0.35,-0.22,-0.1,-0.15,0.06,0
